"Participant" "elogPred" "elogUnpred"
"P01Task1" 0.804115725810009 0.237021083326782
"P02Tas1" 0.176064516635208 -0.413542554391908
"P03Task1" 0.371456624087455 -0.206198746363465
"P04Task2" 2.3407328285357 -0.765389959591028
"P05Task2" 0.733089209213489 -0.197294968697413
"P06Task2" -1.16323094819805 -0.982214810908194
"P07Task1" 0.172335920280337 -1.70500093653825
"P08Task1" -1.15257395752078 -1.39035574117021
"P09Task1" 1.66224948879215 0.352196161794692
"P100Task2" -1.49602800674616 -1.72937762209703
"P101Task2" 0.40294227291895 -1.04231282714806
"P102Task2" 1.72870046746981 0.243281106260751
"P103Task1" 0.656959429557924 -0.345094862293174
"P104Task1" -0.711736850365559 -2.38468269426046
"P105Task1" 1.45761329289398 0.867991542240281
"P106Task2" 0.581748719775507 0.832386618194573
"P107Task2" -0.0246007779023118 -0.927442298886081
"P108Task2" 1.36965628048248 0.532560338152803
"P10Task2" 1.09780683603376 0.692995571550482
"P110Task1" 1.10354747482342 -0.923694053217238
"P111Task1" 0.783046824435824 -0.23313430832458
"P112Task2" 0.75352537307884 0.446958997997752
"P113Task2" 0.662433778034169 -1.10239667634197
"P114Task2" 1.45406427534216 -0.738663858399838
"P115Task1" 0.641741918218607 -0.348446099161534
"P116Task1" 0.942143314378567 -0.739962385690504
"P117Task1" 2.42461616729644 2.68656007772222
"P118Task2" 1.25658957750509 1.08277670619529
"P119Task2" 0.0521098856591549 -0.440002676884735
"P11Task2" -1.31551799237863 -1.19669203794234
"P120Task2" -2.58348017914352 -1.84913214611537
"P121Task1" 3.22840539177847 1.13108694898943
"P122Task1" -0.632558275437417 -1.9814854434377
"P123Task1" -0.705425326427949 -1.70804358617962
"P124Task2" -0.115516319620734 -0.697154389562326
"P125Task2" -0.14829960774071 -1.68776761262531
"P126Task2" -0.260236471886137 -0.674098327948654
"P127Task1" 1.89791217951814 0.721345383992076
"P129Task1" -0.958277056408131 0.044854938851122
"P12Task2" 1.28144138491887 0.77853988154371
"P130Task2" -0.398320211074815 -2.00548096761993
"P131Task2" 0.895628213872667 -1.11950101897969
"P132Task2" 1.99523326997372 1.08606680567365
"P133Task1" -0.599277039807309 0.89605424304928
"P134Task1" -1.03784360494111 -2.70537527646293
"P135Task1" 1.89605803059544 0.339015391361503
"P136Task2" -0.0604755570908875 0.318490963870349
"P137Task2" 1.41107379815933 -0.0809046718903475
"P138Task2" 1.68120638130163 0.148659684635856
"P139Task1" 1.19477971057508 -0.145238273432468
"P140Task1" -0.816192407363399 -2.21724980596552
"P141Task1" 0.530077116975534 0.144257631985099
"P142Task2" 0.872804683210601 0.0428099839472841
"P143Task2" 1.23352368438058 1.32308812387634
"P144Task2" 1.05388339245247 1.20149008720015
"P145Task1" 3.33506432638668 1.54861737580457
"P146Task1" -0.212666911837704 -0.541768223783886
"P147Task1" 0.0624166817768067 -0.834332640837941
"P148Task2" -1.19756291564221 -0.327297756971187
"P149Task2" -0.132700282583376 -2.27643888594445
"P14Task1" -0.899096712451263 -1.50280317717661
"P150Task2" 1.83250807397031 1.24870974616089
"P151Task1" -1.9874357734177 -1.56832724472283
"P152Task1" -0.332805258921284 -2.17297961245523
"P153Task1" 2.87663513279343 1.81708632696813
"P154Task2" -0.517106705573058 1.7866806334934
"P155Task2" 0.534398544405835 -0.315258455190256
"P156Task2" -0.477969140779924 -1.97557344953929
"P157Task1" 0.185460212867717 -0.260133955173677
"P158Task1" 1.62568144452666 0.289513088383739
"P159Task1" 1.08208373425872 0.338606073223216
"P15Task1" 0.0520686542501248 0.0902018590238608
"P160Task2" 1.10304879016485 0.193783434582918
"P161Task2" 1.23537083881747 -0.135947578623191
"P162Task2" -0.484237645569412 -0.644501786769275
"P163Task1" 0.13120894379996 0.40997443090454
"P164Task1" -0.989078626490864 -0.892188196469737
"P165Task1" -0.157834468744665 -0.741782653117007
"P166Task2" 1.65595969070978 0.123446179981649
"P167Task2" 2.71545482437359 2.5698141055912
"P168Task2" -2.20512105233637 -3.23332106553727
"P169Task1" -1.7940278923353 -1.70337261378011
"P16Task2" 0.444400995785026 0.672173650061657
"P170Task1" 0.202801105901534 0.0158441566469791
"P171Task1" -0.316453480787286 -2.54045287617404
"P172Task2" 1.87016843464335 -0.0571611321742037
"P173Task2" 1.16795023868294 0.599317774386184
"P175Task1" 1.2567858658854 0.0979238975776766
"P176Task1" 0.567434798311511 -0.456543359241676
"P177Task1" 0.540953854826627 -1.98540619194245
"P178Task2bis" 0.468384856179734 -0.928142879141189
"P179Task2" -0.868072371999088 -1.5354506517103
"P17Task2" 0.929899414530279 1.03912163748087
"P180Task2" 0.784492574756985 -0.787930878014717
"P181Task1bis" 1.70318303853541 0.918747350294582
"P182Task1" -0.00715317377982766 -0.478231814923799
"P183Task1" 1.48199164026058 0.532540275513198
"P184Task2" 1.52300175920527 0.517687954078592
"P185Task2" 0.265986087941174 -0.469029178249999
"P186Task2" -0.73158435146725 -0.937540001258344
"P187Task1" 2.14721791402209 1.64752422406288
"P188Task1" -0.435098846270909 -1.73711437089817
"P189Task1" -0.785700787426687 -1.30817294527132
"P192Task2" 1.15783848169516 0.0820102895322849
"P193Task1" -0.707485466885056 -0.421303501316072
"P198Task2" -0.00166667462101761 -1.58400363075919
"P199Task1" -0.0437435296903578 -0.775502342587697
"P19Task1" 1.17139058119451 -0.23527535419022
"P200Task1" -0.841742367839691 -0.410680713927495
"P201Task1" -0.131553704501738 0.0752464147289613
"P202Task1" -0.686915234372784 0.207724249529881
"P203Task2" -0.0182800135809145 -0.513104352240419
