"PartCode";"Value";"Participant";"Age";"BPVS"
128;2.71723553640951;"P21Task1";52;69
129;-1.52822156507447;"P22Task2";38;30
130;-0.279807535415988;"P23Task2";51;53
131;-2.42255589187556;"P24Task2";41;58
132;0.640674731138761;"P25Task1";57;44
133;-6.11945237982124;"P26Task1";54;55
134;1.92570611627786;"P27Task1";41;30
135;-1.98774415509276;"P28Task2";48;38
136;-0.244627016979862;"P29Task2";48;52
137;0.425363946010797;"P300Task1";44;47
138;0.80737647741939;"P301Task1";37;23
139;-0.695453228650905;"P302Task1";47;46
140;-1.72109950058703;"P304Task2";37;40
141;0.308630983773175;"P305Task2";36;34
142;-1.37844586176677;"P306Task2";44;50
143;2.31928929948038;"P30Task2";39;32
144;-2.35530362441163;"P31Task1";50;72
145;-1.55757195912353;"P32Task1";37;38
146;-2.00940144007771;"P33Task1";55;82
147;-2.37421289394889;"P34Task2";43;47
148;-0.238056687719255;"P35Task2";47;54
149;-0.922109566877628;"P36Task2";48;37
150;-2.09461281159712;"P37Task1";37;38
151;1.77091739493046;"P38Task1";54;64
152;-1.05188801894664;"P39Task1";54;56
153;1.86152742534778;"P400Task1";54;43
154;-0.534711403923202;"P401Task1";58;46
155;2.610633926444;"P402Task1";60;66
156;0.853356101316814;"P403Task2";56;66
157;-0.217073449961137;"P404Task2";51;57
158;-0.0939958740186285;"P405Task2";49;54
159;-3.12726108264737;"P40Task2";51;63
160;-0.702487465163685;"P41Task2";43;28
161;1.55364433977235;"P42Task2";54;34
162;-2.74950231541401;"P43Task1";50;44
163;1.89995095215765;"P44Task1";52;66
164;0.856734134885967;"P45Task1";54;71
165;-1.44457125067539;"P46Task2";60;93
166;-2.79919931227254;"P47Task2";49;60
167;-1.59422971286928;"P48Task2";32;34
168;-1.97898167092246;"P49Task1";49;55
169;-0.0111798464015346;"P50Task1";38;54
170;-0.351622895015002;"P51Task1";54;57
171;-1.94252051233865;"P52Task2";36;29
172;-0.307255860426214;"P53Task2";39;26
173;-1.77378894267316;"P54Task2";42;32
174;2.77775287706151;"P55Task1";53;55
175;0.856582136750401;"P56Task1";40;31
176;-1.45829120818174;"P57Task1";45;47
177;-1.57109576470511;"P58Task2";38;26
