"Participant" "rawPred" "rawUnpred"
"P01Task1" 0.174074074074074 0.0425925925925926
"P02Tas1" 0.0444444444444445 -0.0944444444444444
"P03Task1" 0.102469135802469 -0.045679012345679
"P04Task2" 0.572916666666667 -0.00763888888888892
"P05Task2" 0.104872134038801 -0.113492063492063
"P06Task2" -0.282098765432099 -0.219753086419753
"P07Task1" 0.0979938271604938 -0.285493827160494
"P08Task1" -0.294444444444444 -0.361111111111111
"P09Task1" 0.420546737213404 0.170546737213404
"P100Task2" -0.331128747795414 -0.355930335097002
"P101Task2" 0.105555555555555 -0.227777777777778
"P102Task2" 0.342956349206349 0.0242559523809524
"P103Task1" 0.134768518518519 -0.0726388888888889
"P104Task1" -0.0515873015873016 -0.396031746031746
"P105Task1" 0.401234567901235 0.225308641975309
"P106Task2" 0.10570987654321 0.166820987654321
"P107Task2" 0.0222222222222222 -0.177777777777778
"P108Task2" 0.356666666666667 0.2
"P10Task2" 0.209435626102293 0.176807760141093
"P110Task1" 0.348324514991182 -0.111992945326279
"P111Task1" 0.133680555555556 -0.0954861111111111
"P112Task2" 0.168650793650794 0.0866402116402116
"P113Task2" 0.15 -0.161111111111111
"P114Task2" 0.3375 -0.0950396825396825
"P115Task1" 0.1 -0.133333333333333
"P116Task1" 0.144444444444444 -0.233333333333333
"P117Task1" 0.396587301587302 0.466031746031746
"P118Task2" 0.188888888888889 0.144444444444444
"P119Task2" -0.0321119929453263 -0.146715167548501
"P11Task2" -0.306635802469136 -0.268441358024691
"P120Task2" -0.55026455026455 -0.492063492063492
"P121Task1" 0.716589506172839 0.316049382716049
"P122Task1" -0.111111111111111 -0.388888888888889
"P123Task1" -0.200987654320988 -0.430123456790123
"P124Task2" 0 -0.113888888888889
"P125Task2" -0.0244268077601411 -0.382098765432099
"P126Task2" -0.075 -0.161111111111111
"P127Task1" 0.377777777777778 0.127777777777778
"P129Task1" -0.244444444444444 -0.0222222222222222
"P12Task2" 0.264506172839506 0.18533950617284
"P130Task2" -0.112384259259259 -0.46670524691358
"P131Task2" 0.163888888888889 -0.238888888888889
"P132Task2" 0.381150793650794 0.150595238095238
"P133Task1" -0.105489417989418 0.180224867724868
"P134Task1" -0.208730158730159 -0.498412698412698
"P135Task1" 0.465972222222222 0.104861111111111
"P136Task2" -0.0944444444444445 -0.0166666666666667
"P137Task2" 0.311728395061728 -0.0635802469135802
"P138Task2" 0.364814814814815 0.0104938271604938
"P139Task1" 0.243148148148148 -0.0346296296296296
"P140Task1" -0.087962962962963 -0.328703703703704
"P141Task1" 0.129166666666667 0.0277777777777778
"P142Task2" 0.183333333333333 -0.0166666666666667
"P143Task2" 0.241666666666667 0.238690476190476
"P144Task2" 0.283564814814815 0.292824074074074
"P145Task1" 0.772839506172839 0.353086419753086
"P146Task1" -0.0817901234567901 -0.152006172839506
"P147Task1" 0.119708994708995 -0.111772486772487
"P148Task2" -0.3 -0.115873015873016
"P149Task2" 0.0579365079365079 -0.353769841269841
"P14Task1" -0.190388007054674 -0.330070546737213
"P150Task2" 0.332098765432099 0.175308641975309
"P151Task1" -0.263541666666667 -0.184375
"P152Task1" -0.0234523809523809 -0.327896825396825
"P153Task1" 0.688888888888889 0.433333333333333
"P154Task2" -0.111111111111111 0.393518518518518
"P155Task2" 0.050925925925926 -0.124074074074074
"P156Task2" -0.116512345679012 -0.310339506172839
"P157Task1" 0.0379629629629629 -0.0712962962962963
"P158Task1" 0.450154320987654 0.184722222222222
"P159Task1" 0.294444444444444 0.0774691358024691
"P15Task1" -0.00705467372134039 0.0105820105820106
"P160Task2" 0.287037037037037 0.0734567901234568
"P161Task2" 0.207638888888889 -0.132253086419753
"P162Task2" -0.10320987654321 -0.160987654320988
"P163Task1" 0.0185185185185185 0.0848765432098766
"P164Task1" -0.071875 -0.131423611111111
"P165Task1" -0.148456790123457 -0.227777777777778
"P166Task2" 0.435493827160494 0.0854938271604938
"P167Task2" 0.534567901234568 0.501234567901235
"P168Task2" -0.387103174603175 -0.596626984126984
"P169Task1" -0.404320987654321 -0.409876543209877
"P16Task2" 0.156944444444444 0.206944444444444
"P170Task1" 0.153549382716049 0.112654320987654
"P171Task1" 0.00277777777777774 -0.475
"P172Task2" 0.371111111111111 -0.0211111111111111
"P173Task2" 0.258818342151675 0.112433862433862
"P175Task1" 0.303703703703704 0.00740740740740745
"P176Task1" 0.137037037037037 -0.0907407407407408
"P177Task1" 0.172839506172839 -0.347222222222222
"P178Task2bis" 0.109876543209877 -0.217901234567901
"P179Task2" -0.294642857142857 -0.336309523809524
"P17Task2" 0.205555555555556 0.255555555555556
"P180Task2" 0.21033950617284 -0.17716049382716
"P181Task1bis" 0.331944444444444 0.145833333333333
"P182Task1" 0.0305555555555556 -0.0780864197530864
"P183Task1" 0.367162698412698 0.144940476190476
"P184Task2" 0.379012345679012 0.20679012345679
"P185Task2" 0.0125 -0.0430555555555555
"P186Task2" -0.171296296296296 -0.231481481481481
"P187Task1" 0.408289241622575 0.29320987654321
"P188Task1" -0.0870370370370371 -0.359964726631393
"P189Task1" -0.252469135802469 -0.371913580246914
"P192Task2" 0.239351851851852 -0.0273148148148148
"P193Task1" -0.212654320987654 -0.14320987654321
"P198Task2" 0.00432098765432104 -0.31358024691358
"P199Task1" -0.0208333333333333 -0.152777777777778
"P19Task1" 0.263333333333333 -0.0511111111111111
"P200Task1" -0.247023809523809 -0.153968253968254
"P201Task1" -0.0767195767195767 -0.0271164021164021
"P202Task1" -0.03125 0.159722222222222
"P203Task2" -0.0393253968253968 -0.0929365079365079
