"Participant" "TimeToFirstFixModel"
"P176Task1" 753.841812479689
"P177Task1" 738.602266633038
"P178Task2bis" 752.97492727693
"P179Task2" 771.245409356396
"P17Task2" 787.178131241266
"P180Task2" 703.385216439921
"P181Task1bis" 799.367835359924
"P182Task1" 766.230168369324
"P183Task1" 724.910986759238
"P184Task2" 713.175149133598
"P185Task2" 787.95818207075
"P186Task2" 781.940530176896
"P187Task1" 771.780388052302
"P188Task1" 736.546094900022
"P189Task1" 743.285440590955
"P192Task2" 773.536728596291
"P193Task1" 782.037917704847
"P198Task2" 716.279521701628
"P199Task1" 813.902987763499
"P19Task1" 787.16526987182
"P200Task1" 793.588870754455
"P201Task1" 780.244156984451
"P202Task1" 795.484357792875
"P203Task2" 782.628111472949
"P204Task2" 724.544404773559
"P205Task2" 722.85584748336
"P206Task1" 750.390698575164
"P207Task1" 762.409245480384
"P208Task1" 727.976318001371
"P209Task2" 742.727996522207
"P20Task1" 702.851167904929
"P210Task2" 791.021446092273
"P211Task2" 747.833914737318
"P212Task1" 811.425440502251
"P213Task1" 819.551860285113
"P214Task1" 755.500441587002
"P215Task2" 788.198844446979
"P216Task2" 748.811128384695
"P217Task2" 776.477504670335
"P21Task1" 731.418028611675
"P22Task2" 734.986516815944
"P23Task2" 729.670817182743
"P24Task2" 794.617016298281
"P25Task1" 726.302080977716
"P26Task1" 753.690011830906
"P27Task1" 746.008815214273
"P28Task2" 777.319928148482
"P29Task2" 726.618465702919
"P300Task1" 784.80456374592
"P301Task1" 761.681716376681
"P302Task1" 734.309304036974
"P304Task2" 688.366570728699
"P305Task2" 793.740395965267
"P306Task2" 725.425259613272
"P30Task2" 698.105389441853
"P31Task1" 684.916362989735
"P32Task1" 704.773113796575
"P33Task1" 723.011386332069
"P34Task2" 760.339124880599
"P35Task2" 752.282793915395
"P36Task2" 714.760148236521
"P37Task1" 814.105145038033
"P38Task1" 713.481319295361
"P39Task1" 751.231370042156
"P400Task1" 735.146782108717
"P401Task1" 722.096858368961
"P402Task1" 748.66554390332
"P403Task2" 701.611364549284
"P404Task2" 726.056763908654
"P405Task2" 761.52755736485
"P40Task2" 779.40834608411
"P41Task2" 835.714619788265
"P42Task2" 728.968477776487
"P43Task1" 771.733567181612
"P44Task1" 731.50423029946
"P45Task1" 720.136629340367
"P46Task2" 710.803112168635
"P47Task2" 750.183106740174
"P48Task2" 747.867734646566
"P49Task1" 683.980558852733
"P50Task1" 685.092165148797
"P51Task1" 760.470598809601
"P52Task2" 763.998810152737
"P53Task2" 815.150913493598
"P54Task2" 746.123106631198
"P55Task1" 752.815905120702
"P56Task1" 800.820333907881
"P57Task1" 771.012395552967
"P58Task2" 766.941903480812
"P59Task2" 731.263484768382
"P61Task1bis" 698.760972315632
"P62Task1" 820.898229488875
"P64Task2" 742.626099848692
"P65Task2" 767.944906841489
"P66Task2" 734.381762091151
"P67Task1" 778.164488336262
"P68Task1" 788.200169612866
"P69Task1" 739.837150234587
"P70Task2" 767.211191744119
"P71Task2" 833.065654728949
"P72Task2" 770.394405470879
"P73Task1" 730.099346287526
"P74Task1" 735.446035640192
"P75Task1" 772.139980416566
"P76Task2" 815.123070448151
"P77Task2" 762.554225115961
"P78Task2" 693.978357378818
"P79Task1" 735.60180804473
"P80Task1" 735.66151109265
"P81Task1" 755.194390491885
"P82" 739.824098107926
"P83" 731.254874862989
"P84" 739.004537987456
"P86Task1" 762.161679800661
"P87Task1" 767.424344836631
"P88Task2" 731.413743096457
"P89Task2" 722.930949309697
"P90Task2" 720.972018035125
"P91Task1" 754.537296336601
"P92Task1" 777.187675108341
"P93Task1" 705.632109707941
"P94Task2" 715.043589113288
"P95Task2" 721.636750866388
"P96Task2" 695.05503552243
"P97Task1" 766.698609152081
"P98Task1" 736.898260623171
"P99Task1" 792.10413966725
