"Participant" "PredR" "RevR" "predrevR"
"P01Task1" 0.266666666666667 0.366803278688525 0.100136612021858
"P02Tas1" 0.327777777777778 0.494791666666667 0.167013888888889
"P03Task1" 0.353703703703704 0.3536311885458 -7.25151579041294e-05
"P04Task2" 0.333333333333333 0.404093097913323 0.0707597645799893
"P05Task2" 0.217592592592593 0.366946138211382 0.14935354561879
"P06Task2" 0.353086419753086 0.45 0.0969135802469136
"P07Task1" 0.349537037037037 0.326822916666667 -0.0227141203703704
"P08Task1" 0.5 0.48530585418525 -0.0146941458147505
"P09Task1" 0.394444444444444 0.550907939189189 0.156463494744745
"P100Task2" 0.557539682539683 0.370967741935484 -0.186571940604199
"P101Task2" 0.272222222222222 0.539719626168224 0.267497403946002
"P102Task2" 0.362599206349206 0.295110887096774 -0.0674883192524321
"P103Task1" 0.299182098765432 0.566220238095238 0.267038139329806
"P104Task1" 0.172222222222222 0.37890625 0.206684027777778
"P105Task1" 0.320987654320988 0.444800204918033 0.123812550597045
"P106Task2" 0.293055555555556 0.48828125 0.195225694444444
"P107Task2" 0.283333333333333 0.48828125 0.204947916666667
"P108Task2" 0.322222222222222 0.38060263653484 0.0583804143126178
"P10Task2" 0.158730158730159 0.438227848101266 0.279497689371107
"P110Task1" 0.247795414462081 0.414981617647059 0.167186203184978
"P111Task1" 0.401041666666667 0.509892337807606 0.10885067114094
"P112Task2" 0.204585537918871 0.417161290322581 0.212575752403709
"P113Task2" 0.3 0.595415959252971 0.295415959252971
"P114Task2" 0.336507936507936 0.397135416666667 0.0606274801587302
"P115Task1" 0.338888888888889 0.529246794871795 0.190357905982906
"P116Task1" 0.255555555555556 0.525207117303709 0.269651561748154
"P117Task1" 0.14781746031746 0.37949744848524 0.23167998816778
"P118Task2" 0.244444444444444 0.437830687830688 0.193386243386243
"P119Task2" 0.223412698412698 0.330373269114991 0.106960570702293
"P11Task2" 0.451388888888889 0.325274122807018 -0.126114766081871
"P120Task2" 0.517195767195767 0.520833333333333 0.00363756613756605
"P121Task1" 0.133333333333333 0.41875 0.285416666666667
"P122Task1" 0.305555555555556 0.67578125 0.370225694444444
"P123Task1" 0.318395061728395 0.544320101351351 0.225925039622956
"P124Task2" 0.288888888888889 0.52734375 0.238454861111111
"P125Task2" 0.332716049382716 0.46875 0.136033950617284
"P126Task2" 0.330555555555556 0.373078547297297 0.0425229917417417
"P127Task1" 0.388888888888889 0.280589680589681 -0.108299208299208
"P129Task1" 0.344444444444444 0.303108377659574 -0.04133606678487
"P12Task2" 0.333333333333333 0.545115041208791 0.211781707875458
"P130Task2" 0.335185185185185 0.545407973174367 0.210222787989181
"P131Task2" 0.344444444444444 0.548155257982957 0.203710813538513
"P132Task2" 0.141666666666667 0.355286738351254 0.213620071684588
"P133Task1" 0.310846560846561 0.266260162601626 -0.0445863982449348
"P134Task1" 0.357936507936508 0.464424951267057 0.106488443330549
"P135Task1" 0.236805555555556 0.522588522588523 0.285782967032967
"P136Task2" 0.411111111111111 0.553385416666667 0.142274305555556
"P137Task2" 0.166666666666667 0.403275516055046 0.236608849388379
"P138Task2" 0.116049382716049 0.463654891304348 0.347605508588298
"P139Task1" 0.332777777777778 0.309357040229885 -0.0234207375478927
"P140Task1" 0.324074074074074 0.334107327141383 0.0100332530673088
"P141Task1" 0.2875 0.393058431101909 0.105558431101909
"P142Task2" 0.188888888888889 0.43359375 0.244704861111111
"P143Task2" 0.222222222222222 0.34765625 0.125434027777778
"P144Task2" 0.197145061728395 0.213360426720853 0.0162153649924584
"P145Task1" 0.281481481481481 0.565104166666667 0.283622685185185
"P146Task1" 0.298611111111111 0.385416666666667 0.0868055555555555
"P147Task1" 0.347883597883598 0.367478774455519 0.0195951765719208
"P148Task2" 0.456349206349206 0.24609375 -0.210255456349206
"P149Task2" 0.413492063492063 0.286585365853659 -0.126906697638405
"P14Task1" 0.386507936507936 0.370547715053763 -0.015960221454173
"P150Task2" 0.10679012345679 0.251002615518745 0.144212492061954
"P151Task1" 0.175 0.44142464678179 0.26642464678179
"P152Task1" 0.309444444444444 0.489880952380952 0.180436507936508
"P153Task1" 0.216666666666667 0.367876838235294 0.151210171568627
"P154Task2" 0 NA NA
"P155Task2" 0.275 0.501302083333333 0.226302083333333
"P156Task2" 0.411728395061728 0.362838537174401 -0.0488898578873279
"P157Task1" 0.215740740740741 0.336654243119266 0.120913502378525
"P158Task1" 0.253086419753086 0.480128205128205 0.227041785375119
"P159Task1" 0.30216049382716 0.350066489361702 0.0479059955345417
"P15Task1" 0.352733686067019 0.276154891304348 -0.0765787947626715
"P160Task2" 0.339506172839506 0.350260416666667 0.0107542438271605
"P161Task2" 0.19891975308642 0.517973019125683 0.319053266039263
"P162Task2" 0.316666666666667 0.439907786885246 0.123241120218579
"P163Task1" 0.320987654320988 0.255874324251994 -0.0651133300689938
"P164Task1" 0.292534722222222 0.595793776371308 0.303259054149086
"P165Task1" 0.365123456790123 0.358958837772397 -0.0061646190177263
"P166Task2" 0.262037037037037 0.443685931424532 0.181648894387495
"P167Task2" 0.161111111111111 0.348727392926288 0.187616281815177
"P168Task2" 0.416071428571429 0.428385416666667 0.0123139880952381
"P169Task1" 0.394444444444444 0.464912280701754 0.07046783625731
"P16Task2" 0.25 0.360677083333333 0.110677083333333
"P170Task1" 0.215277777777778 0.281779661016949 0.0665018832391714
"P171Task1" 0.255555555555556 0.518229166666667 0.262673611111111
"P172Task2" 0.116666666666667 0.572916666666667 0.45625
"P173Task2" 0.208024691358025 0.273686835106383 0.0656621437483583
"P175Task1" 0.327160493827161 0.5359375 0.208777006172839
"P176Task1" 0.283333333333333 0.552476025132275 0.269142691798942
"P177Task1" 0.253086419753086 0.420549581839904 0.167463162086818
"P178Task2bis" 0.277777777777778 0.446614583333333 0.168836805555556
"P179Task2" 0.354166666666667 0.375 0.0208333333333334
"P17Task2" 0.183333333333333 0.575520833333333 0.3921875
"P180Task2" 0.244444444444444 0.567708333333333 0.323263888888889
"P181Task1bis" 0.330555555555556 0.330729166666667 0.000173611111111083
"P182Task1" 0.369135802469136 0.47308843537415 0.103952632905014
"P183Task1" 0.21875 0.471723790322581 0.252973790322581
"P184Task2" 0.288888888888889 0.560301400273224 0.271412511384335
"P185Task2" 0.402777777777778 0.345772058823529 -0.0570057189542484
"P186Task2" 0.329475308641975 0.2765625 -0.0529128086419753
"P187Task1" 0.15 0.443418560606061 0.293418560606061
"P188Task1" 0.366666666666667 0.440451478982875 0.0737848123162083
"P189Task1" 0.419444444444444 0.440083498677249 0.0206390542328043
"P192Task2" 0.272222222222222 0.397135416666667 0.124913194444444
"P193Task1" 0.302777777777778 0.369690265486726 0.0669124877089479
"P198Task2" 0.292592592592593 0.400028935185185 0.107436342592593
"P199Task1" 0.368055555555556 0.481703198870265 0.113647643314709
"P19Task1" 0.211111111111111 0.650213068181818 0.439101957070707
"P200Task1" 0.365079365079365 0.553921568627451 0.188842203548086
"P201Task1" 0.378968253968254 0.267221102150538 -0.111747151817716
"P202Task1" 0.166666666666667 0.139705882352941 -0.0269607843137255
"P203Task2" 0.473055555555556 0.476958069620253 0.0039025140646976
"P204Task2" 0.359567901234568 0.364488636363636 0.00492073512906843
"P205Task2" 0.333333333333333 0.137254901960784 -0.196078431372549
"P206Task1" 0.151234567901235 0.418001575630252 0.266767007729018
"P207Task1" 0.461033950617284 0.540963787674314 0.0799298370570301
"P208Task1" 0.238888888888889 0.381510416666667 0.142621527777778
"P209Task2" 0.36031746031746 0.325146627565982 -0.0351708327514779
"P20Task1" 0.188888888888889 0.467447916666667 0.278559027777778
"P210Task2" 0.161111111111111 0.235449735449735 0.0743386243386243
"P211Task2" 0.188888888888889 0.0638297872340425 -0.125059101654846
"P212Task1" 0.416666666666667 0.188675548589342 -0.227991118077325
"P213Task1" 0.356150793650794 0.346448748991122 -0.00970204465967178
"P214Task1" 0.393298059964727 0.352511961722488 -0.0407860982422386
"P215Task2" 0.476190476190476 0.406163194444444 -0.0700272817460317
"P216Task2" 0.196825396825397 0.302484472049689 0.105659075224293
"P217Task2" 0.417438271604938 0.441797845898923 0.0243595742939847
"P21Task1" 0.272222222222222 0.446614583333333 0.174392361111111
"P22Task2" 0.154960317460317 0.433783783783784 0.278823466323466
"P23Task2" 0.396913580246914 0.405753968253968 0.00884038800705467
"P24Task2" 0.0777777777777778 NA NA
"P25Task1" 0.311111111111111 0.5390625 0.227951388888889
"P26Task1" 0.374074074074074 0.49609375 0.122019675925926
"P27Task1" 0.391975308641975 0.562998670212766 0.171023361570791
"P28Task2" 0.226984126984127 0.410597826086956 0.18361369910283
"P29Task2" 0.244444444444444 0.495222107438017 0.250777662993572
"P300Task1" 0.294444444444444 0.52890625 0.234461805555556
"P301Task1" 0.1875 0.29353676336435 0.10603676336435
"P302Task1" 0.244444444444444 0.543245547555892 0.298801103111448
"P304Task2" 0.204585537918871 0.438583044521461 0.23399750660259
"P305Task2" 0.38641975308642 0.506994047619048 0.120574294532628
"P306Task2" 0.327160493827161 0.334357398873528 0.00719690504636739
"P30Task2" 0.300793650793651 0.326119658119658 0.0253260073260074
"P31Task1" 0.141666666666667 0.561832816804408 0.420166150137741
"P32Task1" 0.420833333333333 0.520833333333333 0.1
"P33Task1" 0.229982363315697 0.561787733797303 0.331805370481607
"P34Task2" 0.5 0.53442581300813 0.0344258130081301
"P35Task2" 0.216666666666667 0.470052083333333 0.253385416666667
"P36Task2" 0.365277777777778 0.331493882275132 -0.0337838955026455
"P37Task1" 0.175308641975309 0.325520833333333 0.150212191358025
"P38Task1" 0.382222222222222 0.631296296296296 0.249074074074074
"P39Task1" 0.265432098765432 0.549062350692785 0.283630251927353
"P400Task1" 0.224074074074074 0.33984375 0.115769675925926
"P401Task1" 0.35679012345679 0.490885416666667 0.134095293209877
"P402Task1" 0.337777777777778 0.582382382382382 0.244604604604605
"P403Task2" 0.276543209876543 0.562031746031746 0.285488536155203
"P404Task2" 0.272222222222222 0.548177083333333 0.275954861111111
"P405Task2" 0.201851851851852 0.520833333333333 0.318981481481482
"P40Task2" 0.141666666666667 0.509393500060408 0.367726833393742
"P41Task2" 0.241975308641975 0.240973312401884 -0.00100199624009145
"P42Task2" 0.147222222222222 0.330926724137931 0.183704501915709
"P43Task1" 0.416666666666667 0.653663330133918 0.236996663467252
"P44Task1" 0.227777777777778 0.373330662393162 0.145552884615385
"P45Task1" 0.327777777777778 0.354720744680851 0.0269429669030733
"P46Task2" 0.292592592592593 0.362967914438503 0.0703753218459101
"P47Task2" 0.255555555555556 0.658854166666667 0.403298611111111
"P48Task2" 0.256944444444444 0.34375 0.0868055555555556
"P49Task1" 0.363888888888889 0.559742647058824 0.195853758169935
"P50Task1" 0.303009259259259 0.634502923976608 0.331493664717349
"P51Task1" 0.33070987654321 0.442304238505747 0.111594361962537
"P52Task2" 0.401234567901235 0.401041666666667 -0.000192901234567944
"P53Task2" 0.356944444444444 0.200549450549451 -0.156394993894994
"P54Task2" 0.264444444444444 0.399019281914894 0.134574837470449
"P55Task1" 0.311111111111111 0.455863808322825 0.144752697211714
"P56Task1" 0.293827160493827 0.532912234042553 0.239085073548726
"P57Task1" 0.395833333333333 0.41072695035461 0.0148936170212766
"P58Task2" 0.307407407407407 0.392125706214689 0.0847182988072819
"P59Task2" 0.316666666666667 0.438382403581267 0.121715736914601
"P61Task1bis" 0.375308641975309 0.488095238095238 0.11278659611993
"P62Task1" 0.119444444444444 0.230699889053254 0.11125544460881
"P64Task2" 0.331018518518518 0.419860727440147 0.0888422089216289
"P65Task2" 0.341269841269841 0.434782608695652 0.0935127674258109
"P66Task2" 0.211111111111111 0.274743709226468 0.0636325981153567
"P67Task1" 0.131944444444444 0.507791825933549 0.375847381489105
"P68Task1" 0.328042328042328 0.653919956140351 0.325877628098023
"P69Task1" 0.338624338624339 0.204081632653061 -0.134542705971277
"P70Task2" 0.327777777777778 0.335752688172043 0.00797491039426523
"P71Task2" 0.285493827160494 0.409464131374244 0.12397030421375
"P72Task2" 0.300925925925926 0.570878623188406 0.26995269726248
"P73Task1" 0.185185185185185 0.502582644628099 0.317397459442914
"P74Task1" 0.203703703703704 0.359375 0.155671296296296
"P75Task1" 0.0416666666666667 0.313920454545455 0.272253787878788
"P76Task2" 0.152777777777778 0.30859375 0.155815972222222
"P77Task2" 0.416666666666667 0.29874213836478 -0.117924528301887
"P78Task2" 0.301697530864197 0.320127920636993 0.0184303897727951
"P79Task1" 0.237803130511464 0.539186507936508 0.301383377425044
"P80Task1" 0.172839506172839 0.609193121693122 0.436353615520282
"P81Task1" 0.288888888888889 0.484550084889643 0.195661196000755
"P82" 0.338888888888889 0.374301321138211 0.0354124322493224
"P83" 0.250793650793651 0.498344370860927 0.247550720067276
"P84" 0.283730158730159 0.388465447154472 0.104735288424313
"P86Task1" 0.284722222222222 0.443562841530055 0.158840619307832
"P87Task1" 0.474074074074074 0.53255890052356 0.0584848264494862
"P88Task2" 0.228395061728395 0.574776785714286 0.346381723985891
"P89Task2" 0.283950617283951 0.472379032258065 0.188428414974114
"P90Task2" 0.427777777777778 0.37157012195122 -0.0562076558265583
"P91Task1" 0.224074074074074 0.477061170212766 0.252987096138692
"P92Task1" 0.290123456790123 0.36328125 0.0731577932098766
"P93Task1" 0.340277777777778 0.421875 0.0815972222222222
"P94Task2" 0.366666666666667 0.555479166666667 0.1888125
"P95Task2" 0.298412698412698 0.380074786324786 0.081662087912088
"P96Task2" 0.321746031746032 0.395354645354645 0.0736086136086136
"P97Task1" 0.269444444444444 0.5341875 0.264743055555556
"P98Task1" 0.361111111111111 0.560971467391304 0.199860356280193
"P99Task1" 0.329166666666667 0.52269847972973 0.193531813063063
