"Participant" "Pred" "UnPred"
"P01Task1" 0.580358206003325 0.14496762202518
"P02Tas1" 0.163298611667755 -0.486378594601868
"P03Task1" 0.326258777366222 -0.137471783241142
"P04Task2" 1.91367841957539 -1.04869934474184
"P05Task2" 0.681733504555083 -0.245531157182588
"P06Task2" -0.821681679833886 -0.684354600591043
"P07Task1" 0.370602075694882 -1.33642107431059
"P08Task1" -0.951707898604383 -1.04105614023868
"P09Task1" 1.55472996525206 0.328998697395891
"P100Task2" -1.16164611671789 -1.41931201443181
"P101Task2" 0.321169508047381 -1.00610363872765
"P102Task2" 1.59423876133453 0.0598584958414823
"P103Task1" 0.836353983754498 -0.134110184456352
"P104Task1" -0.301259376155881 -2.0748248883895
"P105Task1" 1.32698059999592 0.61150055794803
"P106Task2" 0.350156101557574 0.572070180909103
"P107Task2" -0.145558959821371 -0.977344227774171
"P108Task2" 1.6819754142823 0.953271696062043
"P10Task2" 0.764776843160858 0.473888373921131
"P110Task1" 1.1969713793784 -0.743195632063551
"P111Task1" 0.660670011989511 -0.450014744968298
"P112Task2" 0.693132411379795 0.382685688253921
"P113Task2" 0.448254324009853 -1.22841416945732
"P114Task2" 1.46903381842476 -0.828007697845448
"P115Task1" 0.426472000562629 -0.614971141692904
"P116Task1" 0.954163424556838 -0.697292607743305
"P117Task1" 2.1527896419537 2.60013758920296
"P118Task2" 1.04961192547934 0.741607495557769
"P119Task2" -0.0056228153586238 -0.406315573575372
"P11Task2" -1.16529768921463 -1.04230802709384
"P120Task2" -2.39015346960184 -1.80713886846246
"P121Task1" 2.87364498917285 0.676664516388493
"P122Task1" -0.346711928094908 -1.70897802012926
"P123Task1" -0.219344396784954 -1.34688901992059
"P124Task2" -0.0645788482548221 -1.06475045268572
"P125Task2" 0.0803493089993064 -1.29076917519195
"P126Task2" -0.24340588975694 -0.60585741968744
"P127Task1" 1.70782023896848 0.740919316937703
"P129Task1" -1.09397193029896 -0.145530027129619
"P12Task2" 0.840269013030785 0.304145273855866
"P130Task2" 0.0385914417593836 -1.3470405187415
"P131Task2" 0.89365324245642 -1.04090111655209
"P132Task2" 1.91758739348812 1.11279326836366
"P133Task1" -0.69485138267744 0.689087419775522
"P134Task1" -0.724418158859753 -2.41263394545226
"P135Task1" 1.90811295299071 0.43744787153192
"P136Task2" 0.184268424415228 0.342631975200419
"P137Task2" 1.39807850204106 -0.128364832032702
"P138Task2" 1.40032139386819 -0.0591555475478767
"P139Task1" 0.962698611563885 -0.349293293272403
"P140Task1" -0.901439914039116 -2.0534100635869
"P141Task1" 0.40458610200771 -0.0853390743218243
"P142Task2" 0.530712035609783 -0.40597268165766
"P143Task2" 0.962776420201762 0.948156749219189
"P144Task2" 0.721914259312897 0.89206120678423
"P145Task1" 2.72625773853306 1.19244825419467
"P146Task1" 0.000726451657110931 -0.275652765495901
"P147Task1" 0.0832842504274261 -0.746803778008431
"P148Task2" -1.02234082402654 -0.232137421985759
"P149Task2" 0.0525268725731877 -1.87729889286443
"P14Task1" -0.775005106947291 -1.49941413546458
"P150Task2" 1.32515254998984 0.590084421980195
"P151Task1" -1.8165687781836 -1.4987895898122
"P152Task1" -0.0421112373401799 -1.68041757622738
"P153Task1" 2.34517200665735 1.09139078701395
"P154Task2" -0.735054479581883 1.34089238094987
"P155Task2" 0.44437922490295 -0.270302827765653
"P156Task2" -0.42093365810942 -1.61020467360594
"P157Task1" 0.0441570946520738 -0.223411500645795
"P158Task1" 1.46601751265708 0.111554789498633
"P159Task1" 1.04314906983209 0.148811780151535
"P15Task1" 0.0155334556672425 0.046569331918681
"P160Task2" 1.22017673136967 0.35287138552383
"P161Task2" 1.05700437040946 -0.285727885802951
"P162Task2" -0.219624731496849 -0.576312643312313
"P163Task1" 0.107415834511595 0.31219609269328
"P164Task1" -0.721010349614291 -0.926193644291303
"P165Task1" 0.212370064295684 -0.536888148181622
"P166Task2" 1.38317450366989 -0.162567370151009
"P167Task2" 2.36591118965584 2.11699810779361
"P168Task2" -1.62858007691715 -2.59797020693374
"P169Task1" -1.48718744691406 -1.50413350990415
"P16Task2" 0.594410537046251 0.592986401058884
"P170Task1" 0.679810960460982 0.206281842128103
"P171Task1" -0.0541564027760225 -2.2145015854926
"P172Task2" 2.27337639498751 0.25394937956783
"P173Task2" 0.898571135723461 0.236240610638733
"P175Task1" 1.11950795152433 0.062134039788814
"P176Task1" 0.504798965433039 -0.668455693743731
"P177Task1" 0.566834285918485 -1.80400391820697
"P178Task2bis" 1.1452020013112 -0.260736740118832
"P179Task2" -0.55823497499426 -1.44260221689328
"P17Task2" 1.09191336683735 1.14621347063087
"P180Task2" 0.858128573416071 -0.659349295503552
"P181Task1bis" 1.382455562656 0.644369808148931
"P182Task1" 0.0809141899718412 -0.3215486330905
"P183Task1" 1.25943795090116 0.27037072016568
"P184Task2" 1.25659284576842 0.297816206027002
"P185Task2" 0.376533971499028 -0.427239941587226
"P186Task2" -0.449818260109212 -0.761255509710985
"P187Task1" 1.67821190938848 1.29891843823951
"P188Task1" -0.196049343558958 -1.42802853352239
"P189Task1" -0.59999119147662 -1.5431904172897
"P192Task2" 1.37205303460932 0.289267203536155
"P193Task1" -0.440994792150728 -0.247174443990694
"P198Task2" 0.347725399773764 -1.14746841036717
"P199Task1" 0.128581274886746 -0.441355460677641
"P19Task1" 1.13078404328238 -0.0768359912363016
"P200Task1" -0.825831184041308 -0.476902228410679
"P201Task1" 0.214686048681981 0.373130314095145
"P202Task1" -0.303484424847066 0.375209316396705
"P203Task2" 0.211705971961266 -0.382944522999987
