"Participant" "Bias" "Named" "AGEYEAR" "DiscardTrial"
"120" "P108Task2" "ABC" "A" "Four-Five" 0
"121" "P108Task2" "ABC" "B" "Four-Five" 0
"122" "P108Task2" "CBA" "B" "Four-Five" 0
"123" "P108Task2" "CBA" "C" "Four-Five" 0
"124" "P108Task2" "FLAT" "A" "Four-Five" 0
"125" "P108Task2" "FLAT" "B" "Four-Five" 0
"126" "P108Task2" "FLAT" "C" "Four-Five" 0
"127" "P10Task2" "ABC" "A" "Two" 0.2
"128" "P10Task2" "ABC" "B" "Two" 0
"129" "P10Task2" "CBA" "B" "Two" 0.333333333333333
"130" "P10Task2" "CBA" "C" "Two" 0
"131" "P10Task2" "FLAT" "A" "Two" 1
"132" "P10Task2" "FLAT" "B" "Two" 0
"133" "P10Task2" "FLAT" "C" "Two" 0
"134" "P110Task1" "ABC" "A" "Three" 0
"135" "P110Task1" "ABC" "B" "Three" 0
"136" "P110Task1" "CBA" "B" "Three" 0
"137" "P110Task1" "CBA" "C" "Three" 0
"138" "P110Task1" "FLAT" "A" "Three" 0
"139" "P110Task1" "FLAT" "B" "Three" 0
"140" "P110Task1" "FLAT" "C" "Three" 0
"141" "P111Task1" "ABC" "A" "Three" 0
"142" "P111Task1" "ABC" "B" "Three" 0
"143" "P111Task1" "CBA" "B" "Three" 0
"144" "P111Task1" "CBA" "C" "Three" 0
"145" "P111Task1" "FLAT" "A" "Three" 0
"146" "P111Task1" "FLAT" "B" "Three" 0
"147" "P111Task1" "FLAT" "C" "Three" 0
"148" "P112Task2" "ABC" "A" "Two" 0.2
"149" "P112Task2" "ABC" "B" "Two" 0
"150" "P112Task2" "CBA" "B" "Two" 0
"151" "P112Task2" "CBA" "C" "Two" 0
"152" "P112Task2" "FLAT" "A" "Two" 0
"153" "P112Task2" "FLAT" "B" "Two" 0.2
"154" "P112Task2" "FLAT" "C" "Two" 0
"155" "P113Task2" "ABC" "A" "Three" 0
"156" "P113Task2" "ABC" "B" "Three" 0
"157" "P113Task2" "CBA" "B" "Three" 0
"158" "P113Task2" "CBA" "C" "Three" 0
"159" "P113Task2" "FLAT" "A" "Three" 0
"160" "P113Task2" "FLAT" "B" "Three" 0
"161" "P113Task2" "FLAT" "C" "Three" 0
"162" "P114Task2" "ABC" "A" "Three" 0
"163" "P114Task2" "ABC" "B" "Three" 0
"164" "P114Task2" "CBA" "B" "Three" 0
"165" "P114Task2" "CBA" "C" "Three" 0
"166" "P114Task2" "FLAT" "A" "Three" 0
"167" "P114Task2" "FLAT" "B" "Three" 0.2
"168" "P114Task2" "FLAT" "C" "Three" 0
"169" "P115Task1" "ABC" "A" "Four-Five" 0
"170" "P115Task1" "ABC" "B" "Four-Five" 0
"171" "P115Task1" "CBA" "B" "Four-Five" 0
"172" "P115Task1" "CBA" "C" "Four-Five" 0
"173" "P115Task1" "FLAT" "A" "Four-Five" 0
"174" "P115Task1" "FLAT" "B" "Four-Five" 0.2
"175" "P115Task1" "FLAT" "C" "Four-Five" 0
"176" "P116Task1" "ABC" "A" "Two" 0
"177" "P116Task1" "ABC" "B" "Two" 0
"178" "P116Task1" "CBA" "B" "Two" 0
"179" "P116Task1" "CBA" "C" "Two" 0
"180" "P116Task1" "FLAT" "A" "Two" 0
"181" "P116Task1" "FLAT" "B" "Two" 0
"182" "P116Task1" "FLAT" "C" "Two" 0
"183" "P117Task1" "ABC" "A" "Two" 0
"184" "P117Task1" "ABC" "B" "Two" 0.166666666666667
"185" "P117Task1" "CBA" "B" "Two" 0
"186" "P117Task1" "CBA" "C" "Two" 0
"187" "P117Task1" "FLAT" "A" "Two" 0.333333333333333
"188" "P117Task1" "FLAT" "B" "Two" 0.2
"189" "P117Task1" "FLAT" "C" "Two" 1
"190" "P118Task2" "ABC" "A" "Two" 0
"191" "P118Task2" "ABC" "B" "Two" 0
"192" "P118Task2" "CBA" "B" "Two" 0
"193" "P118Task2" "CBA" "C" "Two" 0
"194" "P118Task2" "FLAT" "A" "Two" 0
"195" "P118Task2" "FLAT" "B" "Two" 0
"196" "P118Task2" "FLAT" "C" "Two" 0
"197" "P119Task2" "ABC" "A" "Two" 0
"198" "P119Task2" "ABC" "B" "Two" 0.25
"199" "P119Task2" "CBA" "B" "Two" 0
"200" "P119Task2" "CBA" "C" "Two" 0
"201" "P119Task2" "FLAT" "A" "Two" 0
"202" "P119Task2" "FLAT" "B" "Two" 0
"203" "P119Task2" "FLAT" "C" "Two" 0
"204" "P11Task2" "ABC" "A" "Two" 0
"205" "P11Task2" "ABC" "B" "Two" 0
"206" "P11Task2" "CBA" "B" "Two" 0
"207" "P11Task2" "CBA" "C" "Two" 0
"208" "P11Task2" "FLAT" "A" "Two" 0.5
"209" "P11Task2" "FLAT" "B" "Two" 0
"210" "P11Task2" "FLAT" "C" "Two" 0
"211" "P120Task2" "ABC" "A" "Two" 0.333333333333333
"212" "P120Task2" "ABC" "B" "Two" 0
"213" "P120Task2" "CBA" "B" "Two" 0
"214" "P120Task2" "CBA" "C" "Two" 0.25
"215" "P120Task2" "FLAT" "A" "Two" 1
"216" "P120Task2" "FLAT" "B" "Two" 0
"217" "P120Task2" "FLAT" "C" "Two" 0
"218" "P121Task1" "ABC" "A" "Four-Five" 0
"219" "P121Task1" "ABC" "B" "Four-Five" 0.166666666666667
"220" "P121Task1" "CBA" "B" "Four-Five" 0
"221" "P121Task1" "CBA" "C" "Four-Five" 0
"222" "P121Task1" "FLAT" "A" "Four-Five" 0
"223" "P121Task1" "FLAT" "B" "Four-Five" 0
"224" "P121Task1" "FLAT" "C" "Four-Five" 0
"225" "P122Task1" "ABC" "A" "Four-Five" 0
"226" "P122Task1" "ABC" "B" "Four-Five" 0
"227" "P122Task1" "CBA" "B" "Four-Five" 0
"228" "P122Task1" "CBA" "C" "Four-Five" 0
"229" "P122Task1" "FLAT" "A" "Four-Five" 0
"230" "P122Task1" "FLAT" "B" "Four-Five" 0
"231" "P122Task1" "FLAT" "C" "Four-Five" 0
"232" "P123Task1" "ABC" "A" "Four-Five" 0
"233" "P123Task1" "ABC" "B" "Four-Five" 0
"234" "P123Task1" "CBA" "B" "Four-Five" 0
"235" "P123Task1" "CBA" "C" "Four-Five" 0
"236" "P123Task1" "FLAT" "A" "Four-Five" 0
"237" "P123Task1" "FLAT" "B" "Four-Five" 0
"238" "P123Task1" "FLAT" "C" "Four-Five" 0
"239" "P124Task2" "ABC" "A" "Four-Five" 0
"240" "P124Task2" "ABC" "B" "Four-Five" 0
"241" "P124Task2" "CBA" "B" "Four-Five" 0
"242" "P124Task2" "CBA" "C" "Four-Five" 0
"243" "P124Task2" "FLAT" "A" "Four-Five" 0
"244" "P124Task2" "FLAT" "B" "Four-Five" 0
"245" "P124Task2" "FLAT" "C" "Four-Five" 0
"246" "P125Task2" "ABC" "A" "Four-Five" 0
"247" "P125Task2" "ABC" "B" "Four-Five" 0
"248" "P125Task2" "CBA" "B" "Four-Five" 0
"249" "P125Task2" "CBA" "C" "Four-Five" 0
"250" "P125Task2" "FLAT" "A" "Four-Five" 0
"251" "P125Task2" "FLAT" "B" "Four-Five" 0
"252" "P125Task2" "FLAT" "C" "Four-Five" 0
"253" "P126Task2" "ABC" "A" "Three" 0
"254" "P126Task2" "ABC" "B" "Three" 0
"255" "P126Task2" "CBA" "B" "Three" 0
"256" "P126Task2" "CBA" "C" "Three" 0
