"Participant" "Age" "BPVS" "FixStartRel"
"P62Task1" 46 55 1036.14457142857
"P64Task2" 33 32 710.6172
"P65Task2" 27 21 892.386333333333
"P66Task2" 27 22 640.62825
"P67Task1" 60 68 877.624833333333
"P68Task1" 49 38 948.5166
"P69Task1" 33 21 692.8964
"P70Task2" 40 43 948.3685
"P71Task2" 40 33 1129.71116666667
"P72Task2" 38 52 839.9015
"P73Task1" 60 48 635.7672
"P74Task1" 54 40 687.725285714286
"P75Task1" 32 30 1006.5295
"P76Task2" 36 35 1165.181
"P77Task2" 36 27 852.736666666667
"P78Task2" 48 45 451.4688
"P79Task1" 56 63 648.3495
"P80Task1" 44 50 695.768875
"P81Task1" 44 44 765.7853
"P82" 38 34 712.70925
"P83" 42 49 669.323857142857
"P84" 40 39 668.97275
"P86Task1" 47 48 793.448125
"P87Task1" 47 47 827.9425
"P88Task2" 47 52 672.647571428571
"P89Task2" 48 54 647.356875
"P90Task2" 44 47 636.27225
"P91Task1" 48 58 759.93475
"P92Task1" 44 58 834.7507
"P93Task1" 60 43 569.169857142857
"P94Task2" 50 65 586.049166666667
"P95Task2" 44 31 618.462666666667
"P96Task2" 39 32 519.993142857143
"P97Task1" 38 41 814.891142857143
"P98Task1" 49 50 685.3025
"P99Task1" 37 35 923.951428571429
