"PartCode";"Value";"Participant";"Age";"BPVS"
1;0.322930289724411;"P01Task1";43;28
2;6.16204115784099;"P02Tas1";42;40
3;1.1332245955063;"P03Task1";46;51
4;3.45889801079446;"P04Task2";39;35
5;-4.04516602028453;"P05Task2";26;30
6;2.19943405726481;"P06Task2";34;44
7;5.23011008561838;"P07Task1";35;37
8;0.587550532974491;"P08Task1";30;12
9;0.828524216374897;"P09Task1";36;47
10;0.11620911239545;"P100Task2";37;33
11;-0.372819397417178;"P101Task2";48;43
12;0.0547513867815961;"P102Task2";48;41
13;1.55907175216074;"P103Task1";41;73
14;2.03583220717822;"P104Task1";35;30
15;1.05810883558802;"P105Task1";56;56
16;1.4004078730914;"P106Task2";40;40
17;-0.56206746177754;"P107Task2";44;42
18;1.1734866042486;"P108Task2";50;49
19;1.78985041867357;"P10Task2";35;30
20;1.58236764913789;"P110Task1";43;43
21;-2.97224526051084;"P111Task1";44;37
22;-1.88458022852646;"P112Task2";35;26
23;-4.25908090951395;"P113Task2";47;39
24;0.28441259326754;"P114Task2";47;67
25;-2.09416317531059;"P115Task1";55;48
26;-3.04986520107804;"P116Task1";30;34
27;-4.57175512564174;"P117Task1";32;26
28;0.386772853046555;"P118Task2";34;35
29;-1.93974106671395;"P119Task2";31;29
30;-0.622477782129679;"P11Task2";24;23
31;4.00122943632257;"P120Task2";26;19
32;2.15449765574381;"P121Task1";58;55
33;1.56113354397979;"P122Task1";55;54
34;5.06128216602568;"P123Task1";52;51
35;2.2249008847724;"P124Task2";57;66
36;2.29644596316151;"P125Task2";53;51
37;1.973300702315;"P126Task2";39;48
38;6.54939064057111;"P127Task1";37;30
39;2.09016886917246;"P129Task1";28;24
40;-0.843275360272784;"P12Task2";32;40
41;5.67737977029452;"P130Task2";56;75
42;1.49613917579701;"P131Task2";61;57
43;4.6771456399352;"P132Task2";60;72
44;-0.432719317543244;"P133Task1";27;12
45;-0.444069423696183;"P134Task1";34;29
46;-3.96522910605541;"P135Task1";29;32
47;1.21013324232417;"P136Task2";56;61
48;2.72899083303314;"P137Task2";54;70
49;-3.27320831960647;"P138Task2";61;46
50;0.896559144178277;"P139Task1";27;23
51;3.81861671858094;"P140Task1";29;15
52;-1.18726886453209;"P141Task1";32;22
53;0.942327319740098;"P142Task2";60;49
54;3.66264086189368;"P143Task2";28;25
55;-1.8020342672821;"P144Task2";49;58
56;-0.62627157210278;"P145Task1";31;35
57;5.05111841926101;"P146Task1";27;35
58;-2.16618138206445;"P147Task1";28;28
59;0.158199869127637;"P148Task2";27;17
60;3.70457170023437;"P149Task2";29;32
61;-0.956534378369943;"P14Task1";45;19
62;1.24358009904621;"P150Task2";34;29
63;1.04343806283504;"P151Task1";24;27
64;4.75465335444133;"P152Task1";33;14
65;-0.538537655720245;"P153Task1";44;38
66;-0.706572544296346;"P154Task2";34;39
67;6.18612046286627;"P155Task2";32;33
68;-0.776460037816619;"P156Task2";33;23
69;-1.04027015052967;"P157Task1";26;24
70;0.836327378984628;"P158Task1";41;37
71;3.85396842890925;"P159Task1";44;44
72;3.70454055682818;"P15Task1";43;40
73;-2.25227098875623;"P160Task2";33;53
74;-1.02606034592656;"P161Task2";47;57
75;-0.716612575030781;"P162Task2";39;34
76;-3.25412793331336;"P163Task1";30;28
77;-0.187456127091677;"P164Task1";44;62
78;1.55131791024922;"P165Task1";45;60
79;0.770840079120843;"P166Task2";48;44
80;3.98840194985294;"P167Task2";51;40
81;1.21678554965652;"P168Task2";45;42
82;1.44741403600601;"P169Task1";36;34
83;-1.65147477444941;"P16Task2";47;37
84;4.58985008709139;"P170Task1";51;52
85;5.84193688070411;"P171Task1";62;58
86;0.335005666537737;"P172Task2";62;72
87;-1.27406111689088;"P173Task2";62;57
88;-0.133034930688577;"P175Task1";36;39
89;1.90510430601494;"P176Task1";53;53
90;4.56416056459733;"P177Task1";58;79
91;2.77709751027785;"P178Task2bis";57;62
92;1.365744796697;"P179Task2";62;58
93;-0.671397755413178;"P17Task2";45;55
94;0.429293305663186;"P180Task2";57;84
95;-1.9972804795307;"P181Task1bis";36;38
96;-0.822181590710805;"P182Task1";55;50
97;-0.534856172495058;"P183Task1";62;71
98;4.73222035983444;"P184Task2";65;56
99;-1.23837137923854;"P185Task2";48;37
100;2.11886359779775;"P186Task2";48;31
101;-3.311128782649;"P187Task1";46;53
102;4.30854022266878;"P188Task1";49;42
103;3.57690305502455;"P189Task1";48;45
104;0.630840408993713;"P192Task2";49;56
105;-0.565276461346913;"P193Task1";40;36
106;-0.363238191274954;"P198Task2";60;71
107;2.46016527646825;"P199Task1";41;49
108;-2.79982617590977;"P19Task1";44;41
109;-0.247327343702884;"P200Task1";31;22
110;-3.37125005457017;"P201Task1";31;20
111;-2.11818261160052;"P202Task1";25;28
112;-0.758005491605499;"P203Task2";35;20
113;0.660702337546232;"P204Task2";26;21
114;0.825820125874595;"P205Task2";33;29
115;-2.14282076359006;"P206Task1";30;24
116;-2.76489046230446;"P207Task1";34;33
117;3.68260043981739;"P208Task1";34;23
118;-0.779479912525717;"P209Task2";31;24
119;3.19131319492721;"P20Task1";50;48
120;1.36900770856901;"P210Task2";28;17
121;-0.100625600594063;"P211Task2";25;12
122;1.09888698317123;"P212Task1";26;8
123;-0.37123752132778;"P213Task1";33;21
124;-0.238615310350101;"P214Task1";24;17
125;-4.9228010531997;"P215Task2";26;19
126;-1.8683332348601;"P216Task2";32;21
127;1.87426850694023;"P217Task2";24;2
128;3.34264714023458;"P21Task1";52;69
129;3.07148733952616;"P22Task2";38;30
130;0.717446362341273;"P23Task2";51;53
131;-0.0536050495843093;"P24Task2";41;58
132;3.13646077213013;"P25Task1";57;44
133;-2.8129999185392;"P26Task1";54;55
134;2.12662744199524;"P27Task1";41;30
135;0.468689285521378;"P28Task2";48;38
136;3.69353234442655;"P29Task2";48;52
137;-1.93456256530945;"P300Task1";44;47
138;2.9641972671346;"P301Task1";37;23
139;0.60965983921298;"P302Task1";47;46
140;0.109660390915398;"P304Task2";37;40
141;-5.01943672358773;"P305Task2";36;34
142;3.74499897299053;"P306Task2";44;50
143;-1.62588048032772;"P30Task2";39;32
144;0.962586199206808;"P31Task1";50;72
145;1.93160705121012;"P32Task1";37;38
146;2.08035443339653;"P33Task1";55;82
147;0.149510895400114;"P34Task2";43;47
148;-0.639958015385119;"P35Task2";47;54
149;6.05321769383958;"P36Task2";48;37
150;-0.932091141160857;"P37Task1";37;38
151;-3.75249705357384;"P38Task1";54;64
152;2.66928992558007;"P39Task1";54;56
153;0.572661039004621;"P400Task1";54;43
154;6.92131862101187;"P401Task1";58;46
155;-3.35363771928656;"P402Task1";60;66
156;1.89281198303556;"P403Task2";56;66
157;3.960025718846;"P404Task2";51;57
158;-0.192657166753844;"P405Task2";49;54
159;0.904320299057741;"P40Task2";51;63
160;-1.04541293043414;"P41Task2";43;28
161;0.27533065236313;"P42Task2";54;34
162;0.864842831100585;"P43Task1";50;44
163;3.40526166476722;"P44Task1";52;66
164;4.30118929354143;"P45Task1";54;71
165;3.05661200692221;"P46Task2";60;93
166;2.9330783734633;"P47Task2";49;60
167;1.38256477155725;"P48Task2";32;34
168;4.409953944158;"P49Task1";49;55
169;1.36136457504608;"P50Task1";38;54
170;1.71544069176391;"P51Task1";54;57
171;5.45997535661472;"P52Task2";36;29
172;3.81076569724955;"P53Task2";39;26
173;-3.70196432131608;"P54Task2";42;32
174;2.52844132548794;"P55Task1";53;55
175;-2.04458359833851;"P56Task1";40;31
176;-0.313386447992988;"P57Task1";45;47
177;-1.23070591364465;"P58Task2";38;26
178;2.37903238598663;"P59Task2";40;35
179;2.46087438481142;"P61Task1bis";56;61
180;1.80728460995856;"P62Task1";46;55
181;3.41395074954416;"P64Task2";33;32
182;-0.697079415593332;"P65Task2";27;21
183;-1.73365822603201;"P66Task2";27;22
184;1.00758918202233;"P67Task1";60;68
185;-2.86199047947224;"P68Task1";49;38
186;-0.0886727067732123;"P69Task1";33;21
187;0.0808064393938963;"P70Task2";40;43
188;1.14932235711663;"P71Task2";40;33
189;-0.183524328018752;"P72Task2";38;52
190;-0.232045925812334;"P73Task1";60;48
191;2.52766131871552;"P74Task1";54;40
192;0.587061178870679;"P75Task1";32;30
193;-0.762335253762793;"P76Task2";36;35
194;3.07749976861753;"P77Task2";36;27
195;5.22003222282557;"P78Task2";48;45
196;2.13147853159885;"P79Task1";56;63
197;3.43889759127975;"P80Task1";44;50
198;-3.25921965519493;"P81Task1";44;44
199;1.71552211815784;"P82";38;34
200;5.00663565559717;"P83";42;49
201;-0.0291918289936849;"P84";40;39
202;6.89685059389935;"P86Task1";47;48
203;1.76014187032028;"P87Task1";47;47
204;0.190692229529659;"P88Task2";47;52
205;2.57683024082626;"P89Task2";48;54
206;1.17360778004757;"P90Task2";44;47
207;0.121367321035981;"P91Task1";48;58
208;4.44228953361583;"P92Task1";44;58
209;0.439864028648741;"P93Task1";60;43
210;0.704406875155697;"P94Task2";50;65
211;3.79312323991715;"P95Task2";44;31
212;4.58501946194666;"P96Task2";39;32
213;-2.71945458517619;"P97Task1";38;41
214;3.48295110858074;"P98Task1";49;50
215;-3.64003426741596;"P99Task1";37;35
